City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
291,Eleousa,GR,39.7064,20.7925,49.51,87,100,2.3,overcast clouds
292,Vanavara,RU,60.34,102.2797,11.98,96,100,3.58,overcast clouds
293,Hede,CN,33.7681,120.2517,46.17,73,0,6.53,clear sky
294,Kazachinskoye,RU,57.6953,93.2761,24.87,92,99,6.67,overcast clouds
295,Te Anau,NZ,-45.4167,167.7167,46.58,98,100,1.34,light rain
296,Buchanan,LR,5.8808,-10.0467,75.16,87,98,3.71,moderate rain
297,Broome,US,42.2506,-75.833,43.02,74,100,8.01,overcast clouds
298,Sioux Lookout,CA,50.1001,-91.917,28.47,69,75,4.61,light snow
299,Kitsuki,JP,33.4167,131.6167,52.05,81,89,4.68,overcast clouds
300,Erechim,BR,-27.6342,-52.2739,80.64,56,22,5.35,few clouds
301,Celestun,MX,20.8667,-90.4,80.51,61,66,14.76,broken clouds
302,Camacupa,AO,-12.0167,17.4833,64.83,84,99,4.23,light rain
303,Magadan,RU,59.5667,150.8,32.02,90,100,10.47,overcast clouds
304,Bengkulu,ID,-3.8004,102.2655,75.99,89,100,3.94,overcast clouds
305,Vung Tau,VN,10.346,107.0843,78.01,87,89,7.61,overcast clouds
306,Codrington,AU,-38.2667,141.9667,46.56,93,92,11.48,overcast clouds
307,Muros,ES,42.7762,-9.0603,58.84,92,13,7.36,few clouds
308,Cockburn Town,TC,21.4612,-71.1419,84.16,65,40,9.22,scattered clouds
309,Mayumba,GA,-3.432,10.6554,77.81,89,100,3.87,overcast clouds
310,Oum Hadjer,TD,13.2954,19.6966,86.16,19,3,10.49,clear sky
311,Rawson,AR,-43.3002,-65.1023,62.92,65,100,9.15,moderate rain
312,Banda Aceh,ID,5.5577,95.3222,79.25,80,100,12.68,overcast clouds
313,Bam,IR,29.106,58.357,58.51,32,0,11.92,clear sky
314,Mar Del Plata,AR,-38.0023,-57.5575,69.1,85,0,7.0,clear sky
315,Porto Santo,PT,33.072,-16.3415,67.91,72,20,4.61,few clouds
316,Staryy Oskol,RU,51.2967,37.8417,33.31,87,28,3.4,scattered clouds
317,Belaya Gora,RU,68.5333,146.4167,-2.2,99,100,2.68,overcast clouds
318,Adrar,MR,20.5022,-10.0711,77.83,35,82,5.73,broken clouds
319,Moreira Sales,BR,-24.0622,-53.0069,76.84,56,63,6.2,broken clouds
320,Oktyabrskiy,RU,54.4815,53.471,29.34,94,100,10.85,overcast clouds
321,Baleshwar,IN,21.4942,86.9317,72.43,86,100,5.06,overcast clouds
322,Palivere,EE,58.9664,23.8911,38.68,85,100,3.36,overcast clouds
323,Codajas,BR,-3.8367,-62.0569,82.29,73,85,2.91,overcast clouds
324,Sungaipenuh,ID,-2.0833,101.3833,65.52,93,100,1.72,overcast clouds
325,Port-Gentil,GA,-0.7193,8.7815,78.76,94,75,11.5,light rain
326,Zhuhai,CN,22.2769,113.5678,69.06,64,0,12.66,clear sky
327,Sestri Levante,IT,44.2732,9.3968,60.64,94,100,1.01,light rain
328,Mogok,MM,22.9167,96.5,62.17,99,100,1.68,light rain
329,Somerset East,ZA,-32.7217,25.588,55.44,88,8,6.76,clear sky
330,Ust-Kuyga,RU,70.0167,135.6,-3.14,98,100,4.5,overcast clouds
331,Pemangkat,ID,1.1667,108.9667,76.77,88,100,4.74,overcast clouds
332,San Patricio,US,28.017,-97.5169,75.61,23,0,7.4,clear sky
333,Camana,PE,-16.6228,-72.7111,67.08,75,80,10.0,broken clouds
334,Teya,RU,60.3778,92.6267,19.15,90,96,8.95,overcast clouds
335,Heze,CN,35.2431,115.4411,46.78,48,0,2.08,clear sky
336,Sakakah,SA,29.9697,40.2064,67.57,26,100,10.98,overcast clouds
337,Tongliao,CN,43.6125,122.2653,30.36,72,14,6.33,few clouds
338,Kapuskasing,CA,49.4169,-82.4331,33.8,80,75,12.66,light snow
339,Qaqortoq,GL,60.7167,-46.0333,12.56,80,4,2.51,clear sky
340,Kutum,SD,14.2,24.6667,71.47,20,0,9.44,clear sky
341,Cairns,AU,-16.9167,145.7667,79.95,76,80,5.75,broken clouds
342,Laguna,US,38.421,-121.4238,81.64,100,90,3.4,mist
343,Valentin Gomez Farias,MX,28.2167,-106.5833,70.9,23,0,6.38,clear sky
344,Touros,BR,-5.1989,-35.4608,83.3,80,39,16.35,scattered clouds
345,Nouadhibou,MR,20.931,-17.0347,69.78,78,0,11.5,clear sky
346,Necochea,AR,-38.5473,-58.7368,72.84,43,75,15.46,moderate rain
